2021-02-07 14:40:25.147 | DEBUG | main | com.CloudBranchApplication-line:56 | Running with Spring Boot v2.3.4.RELEASE, Spring v5.2.9.RELEASE
2021-02-07 14:45:53.540 | DEBUG | http-nio-8090-exec-1 | com.modules.sys.admin.dao.UserDao.findByUserName-line:137 | ==>  Preparing: SELECT * FROM user WHERE USER_NAME = ?
2021-02-07 14:45:53.568 | DEBUG | http-nio-8090-exec-1 | com.modules.sys.admin.dao.UserDao.findByUserName-line:137 | ==> Parameters: admin(String)
2021-02-07 14:45:53.600 | DEBUG | http-nio-8090-exec-1 | com.modules.sys.admin.dao.UserDao.findByUserName-line:137 | <==      Total: 1
2021-02-07 14:45:53.603 | DEBUG | http-nio-8090-exec-1 | com.alibaba.druid.pool.PreparedStatementPool-line:129 | {conn-10010, pstmt-20000} enter cache
2021-02-07 14:45:54.618 | DEBUG | http-nio-8090-exec-1 | com.modules.sys.admin.dao.UserDao.findByUserName-line:137 | ==>  Preparing: SELECT * FROM user WHERE USER_NAME = ?
2021-02-07 14:45:54.619 | DEBUG | http-nio-8090-exec-1 | com.modules.sys.admin.dao.UserDao.findByUserName-line:137 | ==> Parameters: admin(String)
2021-02-07 14:45:54.620 | DEBUG | http-nio-8090-exec-1 | com.modules.sys.admin.dao.UserDao.findByUserName-line:137 | <==      Total: 1
2021-02-07 14:45:54.622 | DEBUG | http-nio-8090-exec-1 | com.modules.sys.admin.dao.UserRoleDao.findByUserId-line:137 | ==>  Preparing: SELECT * FROM user_role WHERE USER_ID = ?
2021-02-07 14:45:54.624 | DEBUG | http-nio-8090-exec-1 | com.modules.sys.admin.dao.UserRoleDao.findByUserId-line:137 | ==> Parameters: 1(Long)
2021-02-07 14:45:54.627 | DEBUG | http-nio-8090-exec-1 | com.modules.sys.admin.dao.UserRoleDao.findByUserId-line:137 | <==      Total: 1
2021-02-07 14:45:54.628 | DEBUG | http-nio-8090-exec-1 | com.alibaba.druid.pool.PreparedStatementPool-line:129 | {conn-10010, pstmt-20001} enter cache
2021-02-07 14:45:54.629 | DEBUG | http-nio-8090-exec-1 | com.modules.sys.admin.dao.MenuDao.findAll-line:137 | ==>  Preparing: SELECT * FROM menu WHERE ID <> 0 ORDER BY ORDER_NUM ASC
2021-02-07 14:45:54.629 | DEBUG | http-nio-8090-exec-1 | com.modules.sys.admin.dao.MenuDao.findAll-line:137 | ==> Parameters: 
2021-02-07 14:45:54.638 | DEBUG | http-nio-8090-exec-1 | com.modules.sys.admin.dao.MenuDao.findAll-line:137 | <==      Total: 22
2021-02-07 14:45:54.639 | DEBUG | http-nio-8090-exec-1 | com.alibaba.druid.pool.PreparedStatementPool-line:129 | {conn-10010, pstmt-20002} enter cache
2021-02-07 14:45:54.639 | DEBUG | http-nio-8090-exec-1 | com.modules.sys.admin.dao.MenuDao.findAll-line:137 | ==>  Preparing: SELECT * FROM menu WHERE ID <> 0 ORDER BY ORDER_NUM ASC
2021-02-07 14:45:54.640 | DEBUG | http-nio-8090-exec-1 | com.modules.sys.admin.dao.MenuDao.findAll-line:137 | ==> Parameters: 
2021-02-07 14:45:54.644 | DEBUG | http-nio-8090-exec-1 | com.modules.sys.admin.dao.MenuDao.findAll-line:137 | <==      Total: 22
2021-02-07 19:28:23.816 | DEBUG | main | com.CloudBranchApplication-line:56 | Running with Spring Boot v2.3.4.RELEASE, Spring v5.2.9.RELEASE
2021-02-07 19:28:54.160 | DEBUG | http-nio-8090-exec-1 | com.modules.sys.admin.dao.UserDao.findByUserName-line:137 | ==>  Preparing: SELECT * FROM user WHERE USER_NAME = ?
