2020-12-29 16:50:32.029 | INFO  | main | o.s.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker-line:335 | Bean 'securityManager' of type [org.apache.shiro.web.mgt.DefaultWebSecurityManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-12-29 16:50:32.570 | INFO  | main | org.springframework.boot.web.embedded.tomcat.TomcatWebServer-line:108 | Tomcat initialized with port(s): 8090 (http)
2020-12-29 16:50:32.591 | INFO  | main | org.apache.coyote.http11.Http11NioProtocol-line:173 | Initializing ProtocolHandler ["http-nio-8090"]
2020-12-29 16:50:32.592 | INFO  | main | org.apache.catalina.core.StandardService-line:173 | Starting service [Tomcat]
2020-12-29 16:50:32.593 | INFO  | main | org.apache.catalina.core.StandardEngine-line:173 | Starting Servlet engine: [Apache Tomcat/9.0.38]
2020-12-29 16:50:32.929 | INFO  | main | org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]-line:173 | Initializing Spring embedded WebApplicationContext
2020-12-29 16:50:32.930 | INFO  | main | org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext-line:285 | Root WebApplicationContext: initialization completed in 8145 ms
2020-12-29 16:50:33.986 | INFO  | main | org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping-line:54 | Adding welcome page: class path resource [static/index.html]
2020-12-29 16:50:34.266 | INFO  | main | org.apache.coyote.http11.Http11NioProtocol-line:173 | Starting ProtocolHandler ["http-nio-8090"]
2020-12-29 16:50:34.298 | INFO  | main | org.springframework.boot.web.embedded.tomcat.TomcatWebServer-line:220 | Tomcat started on port(s): 8090 (http) with context path ''
2020-12-29 16:50:34.309 | INFO  | main | com.CloudBranchApplication-line:61 | Started CloudBranchApplication in 10.453 seconds (JVM running for 14.237)
2020-12-29 16:52:56.225 | INFO  | http-nio-8090-exec-1 | org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]-line:173 | Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-12-29 16:52:56.226 | INFO  | http-nio-8090-exec-1 | org.springframework.web.servlet.DispatcherServlet-line:525 | Initializing Servlet 'dispatcherServlet'
2020-12-29 16:52:56.234 | INFO  | http-nio-8090-exec-1 | org.springframework.web.servlet.DispatcherServlet-line:547 | Completed initialization in 8 ms
