2020-12-22 15:27:33.517 | DEBUG | main | com.CloudBranchApplication-line:56 | Running with Spring Boot v2.3.4.RELEASE, Spring v5.2.9.RELEASE
2020-12-22 15:27:59.956 | DEBUG | http-nio-8090-exec-2 | com.modules.sys.syslog.dao.SysLogDao.findPage-line:137 | ==>  Preparing: select * from sys_log WHERE TIME <= ? AND CREATE_TIME <= ? ORDER BY CREATE_TIME DESC LIMIT 0,5;
2020-12-22 15:27:59.974 | DEBUG | http-nio-8090-exec-2 | com.modules.sys.syslog.dao.SysLogDao.findPage-line:137 | ==> Parameters: 1005(Long), 2020-12-30(String)
2020-12-22 15:27:59.993 | DEBUG | http-nio-8090-exec-2 | com.modules.sys.syslog.dao.SysLogDao.findPage-line:137 | <==      Total: 5
2020-12-22 15:27:59.995 | DEBUG | http-nio-8090-exec-2 | com.modules.sys.syslog.dao.SysLogDao.count-line:137 | ==>  Preparing: select count(*) from sys_log WHERE TIME <= ? AND CREATE_TIME <= ?
2020-12-22 15:27:59.997 | DEBUG | http-nio-8090-exec-2 | com.modules.sys.syslog.dao.SysLogDao.count-line:137 | ==> Parameters: 1005(Long), 2020-12-30(String)
2020-12-22 15:27:59.999 | DEBUG | http-nio-8090-exec-2 | com.modules.sys.syslog.dao.SysLogDao.count-line:137 | <==      Total: 1
2020-12-22 15:28:00.028 | DEBUG | http-nio-8090-exec-2 | com.modules.sys.syslog.dao.SysLogDao.save-line:137 | ==>  Preparing: INSERT INTO sys_log(USER_NAME, DESCRIPTION, URL, METHOD, PARAMS, TIME, IP, CREATE_TIME, VERSION) values(?, ?, ? , ?, ?, ? , ?, ?, ?)
2020-12-22 15:28:00.030 | DEBUG | http-nio-8090-exec-2 | com.modules.sys.syslog.dao.SysLogDao.save-line:137 | ==> Parameters: null, syslog query(String), /syslog/page(String), com.modules.sys.syslog.controller.SysLogController.findPage()(String), {"userName":"","description":"","method":"","time":1005,"ip":"","createTime":"2020-12-30","pageNum":1,"pageSize":5}(String), 203(Long), 0:0:0:0:0:0:0:1(String), 2020-12-22 15:28:00.028(Timestamp), v1.2(String)
2020-12-22 15:28:00.034 | DEBUG | http-nio-8090-exec-2 | com.modules.sys.syslog.dao.SysLogDao.save-line:137 | <==    Updates: 1
2020-12-22 15:28:42.135 | DEBUG | http-nio-8090-exec-4 | com.modules.sys.syslog.dao.SysLogDao.findPage-line:137 | ==>  Preparing: select * from sys_log WHERE TIME <= ? AND CREATE_TIME <= ? ORDER BY CREATE_TIME DESC LIMIT 0,5;
2020-12-22 15:28:42.136 | DEBUG | http-nio-8090-exec-4 | com.modules.sys.syslog.dao.SysLogDao.findPage-line:137 | ==> Parameters: 1005(Long), 1020-12-30(String)
2020-12-22 15:28:42.138 | DEBUG | http-nio-8090-exec-4 | com.modules.sys.syslog.dao.SysLogDao.findPage-line:137 | <==      Total: 0
2020-12-22 15:28:42.139 | DEBUG | http-nio-8090-exec-4 | com.modules.sys.syslog.dao.SysLogDao.count-line:137 | ==>  Preparing: select count(*) from sys_log WHERE TIME <= ? AND CREATE_TIME <= ?
2020-12-22 15:28:42.141 | DEBUG | http-nio-8090-exec-4 | com.modules.sys.syslog.dao.SysLogDao.count-line:137 | ==> Parameters: 1005(Long), 1020-12-30(String)
2020-12-22 15:28:42.143 | DEBUG | http-nio-8090-exec-4 | com.modules.sys.syslog.dao.SysLogDao.count-line:137 | <==      Total: 1
2020-12-22 15:28:42.144 | DEBUG | http-nio-8090-exec-4 | com.modules.sys.syslog.dao.SysLogDao.save-line:137 | ==>  Preparing: INSERT INTO sys_log(USER_NAME, DESCRIPTION, URL, METHOD, PARAMS, TIME, IP, CREATE_TIME, VERSION) values(?, ?, ? , ?, ?, ? , ?, ?, ?)
2020-12-22 15:28:42.146 | DEBUG | http-nio-8090-exec-4 | com.modules.sys.syslog.dao.SysLogDao.save-line:137 | ==> Parameters: null, syslog query(String), /syslog/page(String), com.modules.sys.syslog.controller.SysLogController.findPage()(String), {"userName":"","description":"","method":"","time":1005,"ip":"","createTime":"1020-12-30","pageNum":1,"pageSize":5}(String), 11(Long), 0:0:0:0:0:0:0:1(String), 2020-12-22 15:28:42.144(Timestamp), v1.2(String)
2020-12-22 15:28:42.149 | DEBUG | http-nio-8090-exec-4 | com.modules.sys.syslog.dao.SysLogDao.save-line:137 | <==    Updates: 1
2020-12-22 15:30:08.666 | DEBUG | http-nio-8090-exec-5 | com.modules.sys.syslog.dao.SysLogDao.findPage-line:137 | ==>  Preparing: select * from sys_log WHERE TIME <= ? AND CREATE_TIME <= ? ORDER BY CREATE_TIME DESC LIMIT 0,5;
2020-12-22 15:30:08.667 | DEBUG | http-nio-8090-exec-5 | com.modules.sys.syslog.dao.SysLogDao.findPage-line:137 | ==> Parameters: 1005(Long), 2020-12-30(String)
2020-12-22 15:30:08.671 | DEBUG | http-nio-8090-exec-5 | com.modules.sys.syslog.dao.SysLogDao.findPage-line:137 | <==      Total: 5
2020-12-22 15:30:08.672 | DEBUG | http-nio-8090-exec-5 | com.modules.sys.syslog.dao.SysLogDao.count-line:137 | ==>  Preparing: select count(*) from sys_log WHERE TIME <= ? AND CREATE_TIME <= ?
2020-12-22 15:30:08.673 | DEBUG | http-nio-8090-exec-5 | com.modules.sys.syslog.dao.SysLogDao.count-line:137 | ==> Parameters: 1005(Long), 2020-12-30(String)
2020-12-22 15:30:08.674 | DEBUG | http-nio-8090-exec-5 | com.modules.sys.syslog.dao.SysLogDao.count-line:137 | <==      Total: 1
2020-12-22 15:30:08.675 | DEBUG | http-nio-8090-exec-5 | com.modules.sys.syslog.dao.SysLogDao.save-line:137 | ==>  Preparing: INSERT INTO sys_log(USER_NAME, DESCRIPTION, URL, METHOD, PARAMS, TIME, IP, CREATE_TIME, VERSION) values(?, ?, ? , ?, ?, ? , ?, ?, ?)
2020-12-22 15:30:08.676 | DEBUG | http-nio-8090-exec-5 | com.modules.sys.syslog.dao.SysLogDao.save-line:137 | ==> Parameters: null, syslog query(String), /syslog/page(String), com.modules.sys.syslog.controller.SysLogController.findPage()(String), {"userName":"","description":"","method":"","time":1005,"ip":"","createTime":"2020-12-30","pageNum":1,"pageSize":5}(String), 17(Long), 0:0:0:0:0:0:0:1(String), 2020-12-22 15:30:08.675(Timestamp), v1.2(String)
2020-12-22 15:30:08.679 | DEBUG | http-nio-8090-exec-5 | com.modules.sys.syslog.dao.SysLogDao.save-line:137 | <==    Updates: 1
2020-12-22 15:32:30.654 | DEBUG | http-nio-8090-exec-8 | com.modules.sys.syslog.dao.SysLogDao.findPage-line:137 | ==>  Preparing: select * from sys_log WHERE TIME <= ? AND CREATE_TIME <= ? ORDER BY CREATE_TIME DESC LIMIT 0,5;
2020-12-22 15:32:30.656 | DEBUG | http-nio-8090-exec-8 | com.modules.sys.syslog.dao.SysLogDao.findPage-line:137 | ==> Parameters: 1005(Long), 2020-12-30(String)
2020-12-22 15:32:30.660 | DEBUG | http-nio-8090-exec-8 | com.modules.sys.syslog.dao.SysLogDao.findPage-line:137 | <==      Total: 5
2020-12-22 15:32:30.663 | DEBUG | http-nio-8090-exec-8 | com.modules.sys.syslog.dao.SysLogDao.count-line:137 | ==>  Preparing: select count(*) from sys_log WHERE TIME <= ? AND CREATE_TIME <= ?
2020-12-22 15:32:30.664 | DEBUG | http-nio-8090-exec-8 | com.modules.sys.syslog.dao.SysLogDao.count-line:137 | ==> Parameters: 1005(Long), 2020-12-30(String)
2020-12-22 15:32:30.665 | DEBUG | http-nio-8090-exec-8 | com.modules.sys.syslog.dao.SysLogDao.count-line:137 | <==      Total: 1
2020-12-22 15:32:30.668 | DEBUG | http-nio-8090-exec-8 | com.modules.sys.syslog.dao.SysLogDao.save-line:137 | ==>  Preparing: INSERT INTO sys_log(USER_NAME, DESCRIPTION, URL, METHOD, PARAMS, TIME, IP, CREATE_TIME, VERSION) values(?, ?, ? , ?, ?, ? , ?, ?, ?)
2020-12-22 15:32:30.669 | DEBUG | http-nio-8090-exec-8 | com.modules.sys.syslog.dao.SysLogDao.save-line:137 | ==> Parameters: null, syslog query(String), /syslog/page(String), com.modules.sys.syslog.controller.SysLogController.findPage()(String), {"userName":"","description":"","method":"","time":1005,"ip":"","createTime":"2020-12-30","pageNum":1,"pageSize":5}(String), 19(Long), 0:0:0:0:0:0:0:1(String), 2020-12-22 15:32:30.667(Timestamp), v1.2(String)
2020-12-22 15:32:30.672 | DEBUG | http-nio-8090-exec-8 | com.modules.sys.syslog.dao.SysLogDao.save-line:137 | <==    Updates: 1
2020-12-22 15:32:33.000 | DEBUG | http-nio-8090-exec-10 | com.modules.sys.syslog.dao.SysLogDao.findPage-line:137 | ==>  Preparing: select * from sys_log WHERE TIME <= ? AND CREATE_TIME <= ? ORDER BY CREATE_TIME DESC LIMIT 0,5;
2020-12-22 15:32:33.001 | DEBUG | http-nio-8090-exec-10 | com.modules.sys.syslog.dao.SysLogDao.findPage-line:137 | ==> Parameters: 1005(Long), 2020-12-30(String)
2020-12-22 15:32:33.007 | DEBUG | http-nio-8090-exec-10 | com.modules.sys.syslog.dao.SysLogDao.findPage-line:137 | <==      Total: 5
2020-12-22 15:32:33.009 | DEBUG | http-nio-8090-exec-10 | com.modules.sys.syslog.dao.SysLogDao.count-line:137 | ==>  Preparing: select count(*) from sys_log WHERE TIME <= ? AND CREATE_TIME <= ?
2020-12-22 15:32:33.010 | DEBUG | http-nio-8090-exec-10 | com.modules.sys.syslog.dao.SysLogDao.count-line:137 | ==> Parameters: 1005(Long), 2020-12-30(String)
2020-12-22 15:32:33.012 | DEBUG | http-nio-8090-exec-10 | com.modules.sys.syslog.dao.SysLogDao.count-line:137 | <==      Total: 1
2020-12-22 15:32:33.013 | DEBUG | http-nio-8090-exec-10 | com.modules.sys.syslog.dao.SysLogDao.save-line:137 | ==>  Preparing: INSERT INTO sys_log(USER_NAME, DESCRIPTION, URL, METHOD, PARAMS, TIME, IP, CREATE_TIME, VERSION) values(?, ?, ? , ?, ?, ? , ?, ?, ?)
2020-12-22 15:32:33.014 | DEBUG | http-nio-8090-exec-10 | com.modules.sys.syslog.dao.SysLogDao.save-line:137 | ==> Parameters: null, syslog query(String), /syslog/page(String), com.modules.sys.syslog.controller.SysLogController.findPage()(String), {"userName":"","description":"","method":"","time":1005,"ip":"","createTime":"2020-12-30","pageNum":1,"pageSize":5}(String), 15(Long), 0:0:0:0:0:0:0:1(String), 2020-12-22 15:32:33.013(Timestamp), v1.2(String)
2020-12-22 15:32:33.017 | DEBUG | http-nio-8090-exec-10 | com.modules.sys.syslog.dao.SysLogDao.save-line:137 | <==    Updates: 1
