2021-01-21 10:12:16.915 | DEBUG | main | com.CloudBranchApplication-line:56 | Running with Spring Boot v2.3.4.RELEASE, Spring v5.2.9.RELEASE
2021-01-21 10:13:29.130 | DEBUG | qtp1690215566-46 | com.modules.sys.admin.dao.UserDao.findByUserName-line:137 | ==>  Preparing: SELECT * FROM user WHERE USER_NAME = ?
2021-01-21 10:13:29.155 | DEBUG | qtp1690215566-46 | com.modules.sys.admin.dao.UserDao.findByUserName-line:137 | ==> Parameters: admin(String)
2021-01-21 10:13:29.189 | DEBUG | qtp1690215566-46 | com.modules.sys.admin.dao.UserDao.findByUserName-line:137 | <==      Total: 1
2021-01-21 10:13:29.191 | DEBUG | qtp1690215566-46 | com.alibaba.druid.pool.PreparedStatementPool-line:129 | {conn-10010, pstmt-20000} enter cache
2021-01-21 10:13:29.964 | DEBUG | qtp1690215566-46 | com.modules.sys.admin.dao.UserDao.findByUserName-line:137 | ==>  Preparing: SELECT * FROM user WHERE USER_NAME = ?
2021-01-21 10:13:29.965 | DEBUG | qtp1690215566-46 | com.modules.sys.admin.dao.UserDao.findByUserName-line:137 | ==> Parameters: admin(String)
2021-01-21 10:13:29.967 | DEBUG | qtp1690215566-46 | com.modules.sys.admin.dao.UserDao.findByUserName-line:137 | <==      Total: 1
2021-01-21 10:13:29.969 | DEBUG | qtp1690215566-46 | com.modules.sys.admin.dao.UserRoleDao.findByUserId-line:137 | ==>  Preparing: SELECT * FROM user_role WHERE USER_ID = ?
2021-01-21 10:13:29.970 | DEBUG | qtp1690215566-46 | com.modules.sys.admin.dao.UserRoleDao.findByUserId-line:137 | ==> Parameters: 1(Long)
2021-01-21 10:13:29.973 | DEBUG | qtp1690215566-46 | com.modules.sys.admin.dao.UserRoleDao.findByUserId-line:137 | <==      Total: 1
2021-01-21 10:13:29.974 | DEBUG | qtp1690215566-46 | com.alibaba.druid.pool.PreparedStatementPool-line:129 | {conn-10010, pstmt-20001} enter cache
2021-01-21 10:13:29.975 | DEBUG | qtp1690215566-46 | com.modules.sys.admin.dao.MenuDao.findAll-line:137 | ==>  Preparing: SELECT * FROM menu WHERE ID <> 0 ORDER BY ORDER_NUM ASC
2021-01-21 10:13:29.976 | DEBUG | qtp1690215566-46 | com.modules.sys.admin.dao.MenuDao.findAll-line:137 | ==> Parameters: 
2021-01-21 10:13:29.986 | DEBUG | qtp1690215566-46 | com.modules.sys.admin.dao.MenuDao.findAll-line:137 | <==      Total: 22
2021-01-21 10:13:29.987 | DEBUG | qtp1690215566-46 | com.alibaba.druid.pool.PreparedStatementPool-line:129 | {conn-10010, pstmt-20002} enter cache
2021-01-21 10:13:29.988 | DEBUG | qtp1690215566-46 | com.modules.sys.admin.dao.MenuDao.findAll-line:137 | ==>  Preparing: SELECT * FROM menu WHERE ID <> 0 ORDER BY ORDER_NUM ASC
2021-01-21 10:13:29.989 | DEBUG | qtp1690215566-46 | com.modules.sys.admin.dao.MenuDao.findAll-line:137 | ==> Parameters: 
2021-01-21 10:13:29.993 | DEBUG | qtp1690215566-46 | com.modules.sys.admin.dao.MenuDao.findAll-line:137 | <==      Total: 22
