2021-01-27 11:18:22.365 | DEBUG | main | com.CloudBranchApplication-line:56 | Running with Spring Boot v2.3.4.RELEASE, Spring v5.2.9.RELEASE
2021-01-27 11:18:52.154 | DEBUG | qtp1075490471-50 | com.modules.sys.admin.dao.UserDao.findByUserName-line:137 | ==>  Preparing: SELECT * FROM user WHERE USER_NAME = ?
2021-01-27 11:18:52.178 | DEBUG | qtp1075490471-50 | com.modules.sys.admin.dao.UserDao.findByUserName-line:137 | ==> Parameters: admin(String)
2021-01-27 11:18:52.226 | DEBUG | qtp1075490471-50 | com.modules.sys.admin.dao.UserDao.findByUserName-line:137 | <==      Total: 1
2021-01-27 11:18:52.229 | DEBUG | qtp1075490471-50 | com.alibaba.druid.pool.PreparedStatementPool-line:129 | {conn-10010, pstmt-20000} enter cache
2021-01-27 11:18:53.032 | DEBUG | qtp1075490471-50 | com.modules.sys.admin.dao.UserDao.findByUserName-line:137 | ==>  Preparing: SELECT * FROM user WHERE USER_NAME = ?
2021-01-27 11:18:53.032 | DEBUG | qtp1075490471-50 | com.modules.sys.admin.dao.UserDao.findByUserName-line:137 | ==> Parameters: admin(String)
2021-01-27 11:18:53.034 | DEBUG | qtp1075490471-50 | com.modules.sys.admin.dao.UserDao.findByUserName-line:137 | <==      Total: 1
2021-01-27 11:18:53.036 | DEBUG | qtp1075490471-50 | com.modules.sys.admin.dao.UserRoleDao.findByUserId-line:137 | ==>  Preparing: SELECT * FROM user_role WHERE USER_ID = ?
2021-01-27 11:18:53.038 | DEBUG | qtp1075490471-50 | com.modules.sys.admin.dao.UserRoleDao.findByUserId-line:137 | ==> Parameters: 1(Long)
2021-01-27 11:18:53.043 | DEBUG | qtp1075490471-50 | com.modules.sys.admin.dao.UserRoleDao.findByUserId-line:137 | <==      Total: 1
2021-01-27 11:18:53.044 | DEBUG | qtp1075490471-50 | com.alibaba.druid.pool.PreparedStatementPool-line:129 | {conn-10010, pstmt-20001} enter cache
2021-01-27 11:18:53.045 | DEBUG | qtp1075490471-50 | com.modules.sys.admin.dao.MenuDao.findAll-line:137 | ==>  Preparing: SELECT * FROM menu WHERE ID <> 0 ORDER BY ORDER_NUM ASC
2021-01-27 11:18:53.046 | DEBUG | qtp1075490471-50 | com.modules.sys.admin.dao.MenuDao.findAll-line:137 | ==> Parameters: 
2021-01-27 11:18:53.056 | DEBUG | qtp1075490471-50 | com.modules.sys.admin.dao.MenuDao.findAll-line:137 | <==      Total: 22
2021-01-27 11:18:53.057 | DEBUG | qtp1075490471-50 | com.alibaba.druid.pool.PreparedStatementPool-line:129 | {conn-10010, pstmt-20002} enter cache
2021-01-27 11:18:53.058 | DEBUG | qtp1075490471-50 | com.modules.sys.admin.dao.MenuDao.findAll-line:137 | ==>  Preparing: SELECT * FROM menu WHERE ID <> 0 ORDER BY ORDER_NUM ASC
2021-01-27 11:18:53.058 | DEBUG | qtp1075490471-50 | com.modules.sys.admin.dao.MenuDao.findAll-line:137 | ==> Parameters: 
2021-01-27 11:18:53.065 | DEBUG | qtp1075490471-50 | com.modules.sys.admin.dao.MenuDao.findAll-line:137 | <==      Total: 22
2021-01-27 11:19:02.694 | DEBUG | qtp1075490471-46 | com.modules.base.dao.DemoDao.findAll-line:137 | ==>  Preparing: SELECT * FROM demo LIMIT 0, ?
2021-01-27 11:19:02.696 | DEBUG | qtp1075490471-46 | com.modules.base.dao.DemoDao.findAll-line:137 | ==> Parameters: 100(Integer)
2021-01-27 11:19:02.715 | DEBUG | qtp1075490471-46 | com.modules.base.dao.DemoDao.findAll-line:137 | <==      Total: 100
2021-01-27 11:19:02.716 | DEBUG | qtp1075490471-46 | com.alibaba.druid.pool.PreparedStatementPool-line:129 | {conn-10010, pstmt-20003} enter cache
2021-01-27 11:19:16.735 | DEBUG | qtp1075490471-50 | com.modules.base.dao.DemoDao.findById-line:137 | ==>  Preparing: SELECT * FROM demo WHERE ID = ?
2021-01-27 11:19:16.736 | DEBUG | qtp1075490471-50 | com.modules.base.dao.DemoDao.findById-line:137 | ==> Parameters: 5556(Integer)
2021-01-27 11:19:16.738 | DEBUG | qtp1075490471-50 | com.modules.base.dao.DemoDao.findById-line:137 | <==      Total: 1
2021-01-27 11:19:16.739 | DEBUG | qtp1075490471-50 | com.alibaba.druid.pool.PreparedStatementPool-line:129 | {conn-10010, pstmt-20004} enter cache
2021-01-27 11:21:32.890 | DEBUG | qtp1075490471-50 | com.modules.base.dao.DemoDao.findById-line:137 | ==>  Preparing: SELECT * FROM demo WHERE ID = ?
2021-01-27 11:21:32.891 | DEBUG | qtp1075490471-50 | com.modules.base.dao.DemoDao.findById-line:137 | ==> Parameters: 5557(Integer)
2021-01-27 11:21:32.894 | DEBUG | qtp1075490471-50 | com.modules.base.dao.DemoDao.findById-line:137 | <==      Total: 1
2021-01-27 11:30:52.746 | DEBUG | SpringContextShutdownHook | com.alibaba.druid.pool.PreparedStatementPool-line:160 | {conn-10010, pstmt-20000} exit cache
2021-01-27 11:30:52.749 | DEBUG | SpringContextShutdownHook | com.alibaba.druid.pool.PreparedStatementPool-line:160 | {conn-10010, pstmt-20001} exit cache
2021-01-27 11:30:52.749 | DEBUG | SpringContextShutdownHook | com.alibaba.druid.pool.PreparedStatementPool-line:160 | {conn-10010, pstmt-20002} exit cache
2021-01-27 11:30:52.749 | DEBUG | SpringContextShutdownHook | com.alibaba.druid.pool.PreparedStatementPool-line:160 | {conn-10010, pstmt-20003} exit cache
2021-01-27 11:30:52.749 | DEBUG | SpringContextShutdownHook | com.alibaba.druid.pool.PreparedStatementPool-line:160 | {conn-10010, pstmt-20004} exit cache
2021-01-27 11:31:01.140 | DEBUG | main | com.CloudBranchApplication-line:56 | Running with Spring Boot v2.3.4.RELEASE, Spring v5.2.9.RELEASE
2021-01-27 11:31:18.552 | DEBUG | qtp2122649762-48 | com.modules.sys.admin.dao.UserDao.findByUserName-line:137 | ==>  Preparing: SELECT * FROM user WHERE USER_NAME = ?
2021-01-27 11:31:18.575 | DEBUG | qtp2122649762-48 | com.modules.sys.admin.dao.UserDao.findByUserName-line:137 | ==> Parameters: admin(String)
2021-01-27 11:31:18.597 | DEBUG | qtp2122649762-48 | com.modules.sys.admin.dao.UserDao.findByUserName-line:137 | <==      Total: 1
